FirstName,LastName,POS,TEAM,OPP,OPP_RANK,OvrRank,PosRank,Yds,TDs,INTs,Att,Yds,TDs,Rec,Yds,TDs,FP,FP,Cost,Value
Tom,Brady,QB,NE,BUF,#10,1,1,309.2,2.17,0.95,2.83,11.51,0.2,0,0,0,20.95,21.97,"$9,200",2.39
Derek,Carr,QB,OAK,DET,#27,2,2,299.64,2.05,0.64,3.33,12.38,0.18,0,0,0,20.88,21.5,"$7,700",2.79
Aaron,Rodgers,QB,GB,MIN,#16,3,3,269.46,2.01,0.89,4.74,19.49,0.15,0,0,0,19.5,20.46,"$8,900",2.3
Carson,Palmer,QB,ARI,CIN,#11,4,4,290.41,2.08,0.8,2.32,6.53,0.04,0.02,-0.05,0,19.09,19.91,"$8,200",2.43
Cam,Newton,QB,CAR,WSH,#15,5,5,220.63,1.38,0.78,7.21,45.12,0.31,0.04,0.37,0,18.81,19.63,"$8,600",2.28
Matt,Ryan,QB,ATL,IND,#20,6,6,299.68,2.17,0.74,1.67,0.5,0.02,0.02,-0.11,0,18.79,19.6,"$7,800",2.51
Russell,Wilson,QB,SEA,SF,#29,7,7,220.61,1.54,0.74,6.07,36.74,0.3,0.02,-0.08,0,18.68,19.44,"$7,600",2.56
Tyrod,Taylor,QB,BUF,NE,#14,8,8,238.68,1.32,0.82,5.8,32.1,0.22,0,0,0,17.41,18.22,"$7,200",2.53
Andy,Dalton,QB,CIN,ARI,#6,9,9,271.57,1.75,0.7,2.4,8.64,0.04,0.02,-0.02,0,17.29,17.99,"$7,900",2.28
Tony,Romo,QB,DAL,MIA,#26,10,10,273.38,1.56,0.92,3.08,11.28,0.17,0,0,0,17.12,18.2,"$8,000",2.28
Marcus,Mariota,QB,TEN,JAC,#23,11,11,272.72,1.49,0.94,2.73,11.84,0.18,0,0,0,17.04,17.99,"$7,100",2.53
Philip,Rivers,QB,SD,KC,#9,12,12,283.36,2.05,1.12,1.45,1.31,0,0,0,0,16.99,18.11,"$8,300",2.18
Adrian,Peterson,RB,MIN,GB,#21,13,1,0.61,0.02,0,21.38,105.53,0.76,2.66,15.02,0.02,16.6,17.97,"$8,900",2.02
Matthew,Stafford,QB,DET,OAK,#31,14,13,263.82,1.45,1.19,3.52,13.79,0.24,0,0,0,16.5,17.9,"$7,000",2.56
Teddy,Bridgewater,QB,MIN,GB,#21,15,14,188.92,1.28,0.76,5.5,39.92,0.26,0.02,0.34,0,16.28,17.07,"$6,600",2.59
Alex,Smith,QB,KC,SD,#28,16,15,242.17,1.49,0.78,4.02,17.38,0.12,0.04,-0.39,0,16.22,17.03,"$6,200",2.75
Blake,Bortles,QB,JAC,TEN,#12,17,16,273.02,1.6,1.25,3.29,12.65,0.09,0.02,0.02,0,16.19,17.75,"$7,500",2.37
Devonta,Freeman,RB,ATL,IND,#20,18,2,0,0,0,16.73,71.96,0.48,5.37,49.75,0.24,16.16,18.86,"$9,100",2.07
Ryan,Fitzpatrick,QB,NYJ,HOU,#13,19,17,239.88,1.38,0.99,3.88,22.87,0.2,0.02,-0.19,0,16,17.1,"$7,400",2.31
Julio,Jones,WR,ATL,IND,#20,20,1,0,0,0,0,0,0,7.42,110.27,0.7,15.16,18.86,"$9,100",2.07
Todd,Gurley,RB,STL,BAL,#17,21,3,0,0,0,19.55,87.68,0.51,3.41,25.28,0.14,15.01,16.72,"$9,200",1.82
Jameis,Winston,QB,TB,PHI,#5,22,18,231.81,1.21,1.23,3.58,20.72,0.26,0,0,0,14.92,16.19,"$6,800",2.38
Brock,Osweiler,QB,DEN,CHI,#25,23,19,238.2,1.3,0.52,2.91,7.81,0.15,0,0,0,14.87,15.37,"$6,000",2.56
Matt,Hasselbeck,QB,IND,ATL,#19,24,20,233.79,1.73,0.77,1.98,2.74,0.02,0.02,-0.08,0,14.59,15.44,"$6,300",2.45
